Team size,duration,app idea,app type,designing,Frontend Primary,Frontend Secondary,Backend Primary,Backend seconday,Database Primary,Database Secondary,Tech stack
small,short,CRUD App,Web,Intermediate,ReactJS,NextJS,Node,PHP,MongoDB,MySQL,MERN stack
very small,short,CRUD App,Web,Intermediate,ReactJS,Angular,PHP,Node,MongoDB,MySQL,MERN stack
small,short,CRUD App,Web,Intermediate,NextJS,Vue,Node,PHP,MongoDB,MySQL,MEVN stack
very small,short,CRUD App,Web,Intermediate,ReactJS,Vue,PHP,Node,MongoDB,MySQL,MEVN stack
small,medium,CRUD App,Web,Advanced,N/A,Angular,PHP,Node,MySQL,N/A,AngularPHP stack
small,medium,CRUD App,Web,Basic,N/A,N/A,N/A,N/A,N/A,N/A,MEVN stack
small,medium,CRUD App,Mob,Basic,N/A,N/A,N/A,N/A,N/A,N/A,Flutter
small,medium,CRUD App,Web,Advanced,N/A,Angular,Node,Express,MySQL,MongoDB,Node-Mongo with template
small,short,CRUD App,Mob,Intermediate,React Native,Flutter,Node,Express,MongoDB,MySQL,RN with Node
small,medium,CRUD App,Mob,Basic,Flutter,React Native,Express,Node,MongoDB,MySQL,Flutter-Node stack
medium,medium,CRUD App,Mob,Intermediate,XML,React Native,Java,Node,MySQL,N/A,Android Native stack
large,long,CRUD App,Mob,Basic,Swift,React Native,Node,Laravel,MySQL,MongoDB,iOS Native stack
small,medium,E-commerce App,Web,Basic,ReactJS,NextJS,Laravel,PHP,MySQL,N/A,ReactPHP stack
very small,short,E-commerce App,Web,Basic,Vue,NextJS,Laravel,PHP,MySQL,N/A,Vue-PHP stack
small,medium,E-commerce App,Web,Basic,Vue,NextJS,Laravel,PHP,MySQL,N/A,Next-PHP stack
medium,medium,E-commerce App,Web,Basic,Vue,NextJS,Node,PHP,MySQL,N/A,Next-Node stack
large,long,E-commerce App,Web,Intermediate,Angular,NextJS,Node,PHP,MySQL,N/A,Angular-Node-RelationalDB
medium,medium,E-commerce App,Web,Basic,Vue,NextJS,Node,PHP,MySQL,GraphQL,Next-Node stack with GQL
large,long,E-commerce App,Web,Intermediate,Angular,NextJS,Node,PHP,GraphQL,MySQL,Angular-Node-RelationalDB with GQL
large,long,E-commerce App,Web,Intermediate,Angular,NextJS,Node,PHP,GraphQL,MongoDB,MEAN with GQL
medium,long,E-commerce App,Web,Intermediate,Angular,Vue,Node,PHP,MySQL,N/A,Angular-Node-RelationalDB
small,short,expense tracker,Web,Intermediate,ReactJS,N/A,Node,Express,N/A,N/A,React
small,short,expense tracker,Web,Intermediate,ReactJS,Vue,Node,Express,MySQL,Postgres,MEVN stack 
small,short,expense tracker,Web,Intermediate,Angular,N/A,PHP,Node,Postgres,MySQL,Angular
small,medium,expense tracker,Web,Intermediate,Angular,Vue,PHP,Laravel,Postgres,N/A,AngularPHP stack
medium,medium,simple management system,Web,Intermediate,Angular,Vue,SpringBoot,N/A,MySQL,Postgres,Vue-Spring stack
